,Annual return,Cumulative returns,Annual volatility,Sharpe ratio,Calmar ratio,Stability,Max drawdown,Omega ratio,Sortino ratio,Skew,Kurtosis,Tail ratio,Daily value at risk
15_weekly_6-month_mean_mean_single_lower,0.3445089307674418,2.619427228555325,0.2199608496562783,1.4566132561364735,1.3732577786491391,0.9618035256329112,-0.2508698192893777,1.3893911268120205,2.169346793403053,-0.1139783397785397,10.961415395528393,1.2581233310029785,-0.0264410420114737
25_weekly_6-month_mean_mean_single_upper,0.4018655990348394,3.3398442618580493,0.248005993855321,1.4879168996242975,1.2892640929389343,0.9226869630493614,-0.3117015367416066,1.3843684631042716,2.13905139828086,-0.8021600992801871,9.132712711604206,1.2102469148020718,-0.0297814836955145
25_weekly_6-month_mean_mean_single_lower,0.4026827662145602,3.350847377589223,0.2454537234771786,1.5027604177878544,1.2595648295793496,0.9474802710399406,-0.3196999128254812,1.385560667332873,2.1909653310291297,-0.5059103209851017,7.136098691975006,1.2596253030933031,-0.029460539636131
25_weekly_6-month_mean_mean_single_best,0.4018655990348394,3.3398442618580493,0.2480059938553211,1.4879168996242964,1.2892640929389343,0.9226869630493614,-0.3117015367416066,1.3843684631042716,2.139051398280859,-0.8021600992801871,9.132712711604206,1.2102469148020718,-0.0297814836955145
25_weekly_6-month_mean_order_single_upper,0.4247539877736763,3.656251055740608,0.2432356250776217,1.5781820979316994,1.3617868882167867,0.94090475192063,-0.3119092946546703,1.4032422020943534,2.342137016075993,-0.2760877428310832,5.870816217525556,1.184849622215658,-0.0291215141995399
25_weekly_6-month_mean_order_single_lower,0.4111109183063024,3.4655896853518726,0.247574423704345,1.5160717447630396,1.3180463851244413,0.939372333268976,-0.3119092946546703,1.3845316424184948,2.218467935750156,-0.3887420516782883,5.860721034140491,1.20836188139089,-0.0297019987488802
25_weekly_6-month_mean_order_single_best,0.4247539877736763,3.656251055740608,0.2432356250776217,1.5781820979316994,1.3617868882167867,0.94090475192063,-0.3119092946546703,1.4032422020943534,2.342137016075993,-0.2760877428310832,5.870816217525556,1.184849622215658,-0.0291215141995399
25_weekly_6-month_mean_None_single_upper,0.3972580795834448,3.278204549479764,0.2287039206020842,1.578427669009217,1.2736333491544949,0.9603326850257154,-0.311909294654671,1.4238687159666616,2.307227241500658,-0.5420447630227201,8.88103972655042,1.2073925818112643,-0.0273814753057686
25_weekly_6-month_mean_None_single_lower,0.3972580795834448,3.278204549479764,0.2287039206020842,1.578427669009217,1.2736333491544949,0.9603326850257154,-0.311909294654671,1.4238687159666616,2.307227241500658,-0.5420447630227201,8.88103972655042,1.2073925818112643,-0.0273814753057686
25_weekly_6-month_mean_None_single_best,0.3972580795834448,3.278204549479764,0.2287039206020842,1.578427669009217,1.2736333491544949,0.9603326850257154,-0.311909294654671,1.4238687159666616,2.307227241500658,-0.5420447630227201,8.88103972655042,1.2073925818112643,-0.0273814753057686
25_weekly_6-month_order_mean_single_upper,0.287437621419671,1.9976881179223664,0.2843029215897802,1.0333542584326068,0.7083462730570512,0.7629533835520157,-0.4057868762112063,1.2254694964500987,1.4057831580442897,-1.2362229512460654,9.073689887498022,1.020192434432174,-0.0346529853004691
25_weekly_6-month_order_mean_single_lower,0.5073568251921963,4.948278088856831,0.2766689378759532,1.6244127211112909,1.480972835495366,0.8754447254589759,-0.3425834782597427,1.3692143448724234,2.2588316772407064,-1.1297155440900182,7.677322954691345,1.0277175348480942,-0.0330735790443323
25_weekly_6-month_order_mean_single_best,0.287437621419671,1.9976881179223664,0.2843029215897802,1.0333542584326068,0.7083462730570512,0.7629533835520157,-0.4057868762112063,1.2254694964500987,1.4057831580442897,-1.2362229512460654,9.073689887498022,1.020192434432174,-0.0346529853004691
25_weekly_6-month_order_order_single_upper,0.378113379591757,3.0292690427425395,0.2842855127667407,1.2731118368258412,1.0472471876978986,0.9002348391237289,-0.3610545667092611,1.278758581505648,1.7460461195962194,-1.2743887644518153,9.023048172841715,1.2060089260748026,-0.0343803887543247
25_weekly_6-month_order_order_single_lower,0.3400988619319156,2.56812313536053,0.2744942698473278,1.2055776611172682,0.7454200507593509,0.745924452540572,-0.4562512929259962,1.2557544070705848,1.666355983650729,-0.8768908656847241,4.577048748326841,0.989188219677673,-0.0332698362385189
25_weekly_6-month_order_order_single_best,0.378113379591757,3.0292690427425395,0.2842855127667407,1.2731118368258412,1.0472471876978986,0.9002348391237289,-0.3610545667092611,1.278758581505648,1.7460461195962194,-1.2743887644518153,9.023048172841715,1.2060089260748026,-0.0343803887543247
25_weekly_6-month_order_None_single_upper,0.4678407538821758,4.299802507552167,0.2487953806186503,1.6683388978265865,1.7587333062080477,0.8942821093804726,-0.2660100608948342,1.3824699812147396,2.4845009188851352,-0.2902116737327563,4.2886387736567935,1.127028114290154,-0.0296981485810223
25_weekly_6-month_order_None_single_lower,0.4678407538821758,4.299802507552167,0.2487953806186503,1.6683388978265865,1.7587333062080477,0.8942821093804726,-0.2660100608948342,1.3824699812147396,2.4845009188851352,-0.2902116737327563,4.2886387736567935,1.127028114290154,-0.0296981485810223
