Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,48.031250,48.250000,47.031250,47.187500,27.588531,2173400
2000-01-04,46.437500,47.406250,45.312500,45.312500,26.492285,2713800
2000-01-05,45.562500,48.125000,45.562500,46.625000,27.259663,3699400
2000-01-06,47.156250,51.250000,47.156250,50.375000,29.452133,5975800
2000-01-07,50.562500,51.906250,49.968750,51.375000,30.036783,4101200
2000-01-10,50.218750,51.750000,50.000000,51.125000,29.890615,3863800
2000-01-11,50.375000,51.250000,50.250000,50.250000,29.379053,2357600
2000-01-12,50.968750,51.812500,50.375000,50.375000,29.452133,2868400
2000-01-13,50.656250,50.937500,50.187500,50.375000,29.452133,2244400
2000-01-14,50.375000,50.468750,49.468750,49.656250,29.031900,2541800
2000-01-18,48.625000,49.625000,48.562500,48.562500,28.392435,2114800
2000-01-19,48.875000,49.968750,48.875000,49.406250,28.885736,2628200
2000-01-20,49.531250,49.687500,47.250000,47.562500,27.807785,3104600
2000-01-21,47.625000,48.281250,47.281250,47.468750,27.752964,4491800
2000-01-24,47.906250,47.906250,45.812500,46.375000,27.113493,2971000
2000-01-25,47.437500,47.437500,45.125000,45.687500,26.711552,3691200
2000-01-26,47.937500,48.750000,47.656250,48.156250,28.154922,7020800
2000-01-27,48.593750,49.156250,48.031250,48.125000,28.136654,2914800
2000-01-28,47.875000,47.906250,46.125000,46.125000,26.967333,3747400
2000-01-31,46.125000,48.687500,46.031250,46.812500,27.369280,3282800
2000-02-01,47.187500,48.093750,46.875000,47.062500,27.515455,2642200
2000-02-02,46.593750,47.000000,46.000000,46.250000,27.040421,2924200
2000-02-03,45.968750,46.062500,45.000000,45.843750,26.802910,3520600
2000-02-04,45.968750,46.218750,44.531250,44.531250,26.035532,3293400
2000-02-07,44.625000,44.687500,43.312500,43.812500,25.615318,3935400
2000-02-08,43.812500,45.093750,43.718750,43.843750,25.633585,2884000
2000-02-09,44.312500,44.500000,43.750000,43.812500,25.615318,2600400
2000-02-10,43.625000,43.625000,42.656250,43.000000,25.140284,4020000
2000-02-11,42.687500,43.250000,40.656250,41.468750,24.245026,4491600
2000-02-14,41.625000,42.375000,41.187500,41.437500,24.226757,3356400
2000-02-15,41.875000,45.281250,41.750000,44.562500,26.053804,3736000
2000-02-16,44.187500,45.187500,43.781250,44.156250,25.816292,2581800
2000-02-17,44.500000,45.937500,44.468750,44.812500,26.199980,3405400
2000-02-18,44.937500,45.343750,43.187500,43.781250,25.597036,2864200
2000-02-22,43.875000,45.218750,43.250000,45.062500,26.346136,2884600
2000-02-23,45.687500,46.968750,45.406250,46.156250,27.160398,4460800
2000-02-24,45.937500,46.062500,44.781250,45.500000,26.774225,3800200
2000-02-25,44.062500,44.656250,42.593750,42.875000,25.229572,3627200
2000-02-28,43.468750,44.437500,42.500000,43.218750,25.431841,3076600
2000-02-29,42.656250,44.593750,42.312500,44.093750,25.946724,2765400
2000-03-01,43.593750,43.875000,42.531250,43.062500,25.339893,2891600
2000-03-02,43.062500,43.875000,42.843750,43.031250,25.321507,2186000
2000-03-03,43.875000,47.312500,43.750000,44.750000,26.332890,4581000
2000-03-06,44.656250,45.625000,43.625000,43.625000,25.670908,2052600
2000-03-07,44.125000,44.437500,41.000000,41.375000,24.346895,5195600
2000-03-08,41.437500,42.125000,40.500000,41.281250,24.291723,4693200
2000-03-09,40.406250,40.968750,40.250000,40.468750,23.813616,3258200
2000-03-10,40.312500,41.343750,40.187500,40.750000,23.979120,5751600
2000-03-13,39.500000,40.250000,39.375000,39.500000,23.243561,3787800
2000-03-14,39.593750,40.000000,39.281250,39.562500,23.280346,3156600
2000-03-15,39.093750,41.875000,39.093750,41.250000,24.273340,4240000
2000-03-16,42.375000,44.625000,41.968750,44.031250,25.909960,4804800
2000-03-17,43.468750,44.593750,42.937500,42.937500,25.266346,4068200
2000-03-20,42.968750,43.906250,42.687500,43.500000,25.597342,2727600
2000-03-21,43.406250,45.750000,43.281250,45.218750,26.608725,3827600
2000-03-22,44.500000,44.687500,42.500000,43.000000,25.303123,4404800
2000-03-23,42.375000,43.625000,42.375000,43.500000,25.597342,4972000
2000-03-24,45.000000,46.625000,44.843750,45.437500,26.737463,5925000
2000-03-27,45.468750,45.968750,44.062500,44.312500,26.075453,3254200
2000-03-28,44.000000,45.281250,43.812500,44.437500,26.149000,2448000
2000-03-29,44.500000,44.500000,43.687500,43.812500,25.781233,3280800
2000-03-30,44.031250,45.875000,43.812500,44.500000,26.185778,3155800
