3,weekly,max,order,None,single,best
3,weekly,max,order,None,single,lower
3,weekly,max,order,None,single,upper
3,weekly,max,order,order,single,best
3,weekly,max,order,order,single,lower
3,weekly,max,order,order,single,upper
3,weekly,max,order,mean,single,best
3,weekly,max,order,mean,single,lower
3,weekly,max,order,mean,single,upper
3,weekly,max,mean,None,single,best
3,weekly,max,mean,None,single,lower
3,weekly,max,mean,None,single,upper
3,weekly,max,mean,order,single,best
3,weekly,max,mean,order,single,lower
3,weekly,max,mean,order,single,upper
3,weekly,max,mean,mean,single,best
3,weekly,max,mean,mean,single,lower
3,weekly,max,mean,mean,single,upper
3,weekly,12-month,order,None,single,best
3,weekly,12-month,order,None,single,lower
3,weekly,12-month,order,None,single,upper
3,weekly,12-month,order,order,single,best
3,weekly,12-month,order,order,single,lower
3,weekly,12-month,order,order,single,upper
3,weekly,12-month,order,mean,single,best
3,weekly,12-month,order,mean,single,lower
3,weekly,12-month,order,mean,single,upper
3,weekly,12-month,mean,None,single,best
3,weekly,12-month,mean,None,single,lower
3,weekly,12-month,mean,None,single,upper
3,weekly,12-month,mean,order,single,best
3,weekly,12-month,mean,order,single,lower
3,weekly,12-month,mean,order,single,upper
3,weekly,12-month,mean,mean,single,best
3,weekly,12-month,mean,mean,single,lower
3,weekly,12-month,mean,mean,single,upper
3,weekly,6-month,order,None,single,best
3,weekly,6-month,order,None,single,lower
3,weekly,6-month,order,None,single,upper
3,weekly,6-month,order,order,single,best
3,weekly,6-month,order,order,single,lower
3,weekly,6-month,order,order,single,upper
3,weekly,6-month,order,mean,single,best
3,weekly,6-month,order,mean,single,lower
3,weekly,6-month,order,mean,single,upper
3,weekly,6-month,mean,None,single,best
3,weekly,6-month,mean,None,single,lower
3,weekly,6-month,mean,None,single,upper
3,weekly,6-month,mean,order,single,best
3,weekly,6-month,mean,order,single,lower
3,weekly,6-month,mean,order,single,upper
3,weekly,6-month,mean,mean,single,best
3,weekly,6-month,mean,mean,single,lower
3,weekly,6-month,mean,mean,single,upper
5,weekly,max,order,None,single,best
5,weekly,max,order,None,single,lower
5,weekly,max,order,None,single,upper
5,weekly,max,order,order,single,best
5,weekly,max,order,order,single,lower
5,weekly,max,order,order,single,upper
5,weekly,max,order,mean,single,best
5,weekly,max,order,mean,single,lower
5,weekly,max,order,mean,single,upper
5,weekly,max,mean,None,single,best
5,weekly,max,mean,None,single,lower
5,weekly,max,mean,None,single,upper
5,weekly,max,mean,order,single,best
5,weekly,max,mean,order,single,lower
5,weekly,max,mean,order,single,upper
5,weekly,max,mean,mean,single,best
5,weekly,max,mean,mean,single,lower
5,weekly,max,mean,mean,single,upper
5,weekly,12-month,order,None,single,best
5,weekly,12-month,order,None,single,lower
5,weekly,12-month,order,None,single,upper
5,weekly,12-month,order,order,single,best
5,weekly,12-month,order,order,single,lower
5,weekly,12-month,order,order,single,upper
5,weekly,12-month,order,mean,single,best
5,weekly,12-month,order,mean,single,lower
5,weekly,12-month,order,mean,single,upper
5,weekly,12-month,mean,None,single,best
5,weekly,12-month,mean,None,single,lower
5,weekly,12-month,mean,None,single,upper
5,weekly,12-month,mean,order,single,best
5,weekly,12-month,mean,order,single,lower
5,weekly,12-month,mean,order,single,upper
5,weekly,12-month,mean,mean,single,best
5,weekly,12-month,mean,mean,single,lower
5,weekly,12-month,mean,mean,single,upper
5,weekly,6-month,order,None,single,best
5,weekly,6-month,order,None,single,lower
5,weekly,6-month,order,None,single,upper
5,weekly,6-month,order,order,single,best
5,weekly,6-month,order,order,single,lower
5,weekly,6-month,order,order,single,upper
5,weekly,6-month,order,mean,single,best
5,weekly,6-month,order,mean,single,lower
5,weekly,6-month,order,mean,single,upper
5,weekly,6-month,mean,None,single,best
5,weekly,6-month,mean,None,single,lower
5,weekly,6-month,mean,None,single,upper
5,weekly,6-month,mean,order,single,best
5,weekly,6-month,mean,order,single,lower
5,weekly,6-month,mean,order,single,upper
5,weekly,6-month,mean,mean,single,best
5,weekly,6-month,mean,mean,single,lower
5,weekly,6-month,mean,mean,single,upper
10,weekly,max,order,None,single,best
10,weekly,max,order,None,single,lower
10,weekly,max,order,None,single,upper
10,weekly,max,order,order,single,best
10,weekly,max,order,order,single,lower
10,weekly,max,order,order,single,upper
10,weekly,max,order,mean,single,best
10,weekly,max,order,mean,single,lower
10,weekly,max,order,mean,single,upper
10,weekly,max,mean,None,single,best
10,weekly,max,mean,None,single,lower
10,weekly,max,mean,None,single,upper
10,weekly,max,mean,order,single,best
10,weekly,max,mean,order,single,lower
10,weekly,max,mean,order,single,upper
10,weekly,max,mean,mean,single,best
10,weekly,max,mean,mean,single,lower
10,weekly,max,mean,mean,single,upper
10,weekly,12-month,order,None,single,best
10,weekly,12-month,order,None,single,lower
10,weekly,12-month,order,None,single,upper
10,weekly,12-month,order,order,single,best
10,weekly,12-month,order,order,single,lower
10,weekly,12-month,order,order,single,upper
10,weekly,12-month,order,mean,single,best
10,weekly,12-month,order,mean,single,lower
10,weekly,12-month,order,mean,single,upper
10,weekly,12-month,mean,None,single,best
10,weekly,12-month,mean,None,single,lower
10,weekly,12-month,mean,None,single,upper
